,Product Name,Brand,Price,Rating,Offer,Review Count,Suction Capacity,Size,Offer_clean,Suction_clean,Rating_Performance,suction_bins
259,Kenstar VENTI,Kenstar,13999,4.1,55% off,11.0,1600 CMH,75.0,55.0,1600.0,Excellent,1500 -2000 CHM
260,Elica FL,Elica,13999,4.1,77% off,3.0,1000 CMH,60.0,77.0,1000.0,Excellent,500 - 1000 CMH
261,RUWA VIVA,RUWA,3998,3.8,64% off,594.0,800 CMH,60.0,64.0,800.0,Good,500 - 1000 CMH
262,Kaff KEC60A,Kaff,18790,3.7,67% off,4.0,1150 CMH,60.0,67.0,1150.0,Good,1000 - 1500 CMH
263,FABER HOOD,FABER,6576,4.7,40% off,45.0,1200 CMH,75.0,40.0,1200.0,Excellent,1000 - 1500 CMH
264,Gilma Pearl,Gilma,20990,3.4,40% off,1.0,800 CMH,60.0,40.0,800.0,Good,500 - 1000 CMH
265,Hindware Smart,Hindware,13352,4.1,33% off,206.0,1250 CMH,60.0,33.0,1250.0,Excellent,1000 - 1500 CMH
266,Amplesta Sereno,Amplesta,17490,3.7,62% off,46.0,1500 CMH,90.0,62.0,1500.0,Good,1000 - 1500 CMH
267,Hindware Sabina,Hindware,7490,3.4,67% off,893.0,1100 CMH,60.0,67.0,1100.0,Good,1000 - 1500 CMH
268,Hindware Smart,Hindware,5099,3.9,63% off,17.0,1350 CMH,75.0,63.0,1350.0,Good,1000 - 1500 CMH
269,Glen CH6050DXBLK60BF,Glen,16490,4.3,56% off,100.0,1000 CMH,60.0,56.0,1000.0,Excellent,500 - 1000 CMH
270,FABER HOOD,FABER,28340,4.1,62% off,0.0,1200 CMH,75.0,62.0,1200.0,Excellent,1000 - 1500 CMH
271,Amplesta Sereno,Amplesta,4192,3.7,48% off,46.0,1250 CMH,60.0,48.0,1250.0,Good,1000 - 1500 CMH
272,FABER Hood,FABER,9999,4.3,67% off,9.0,1350 CMH,90.0,67.0,1350.0,Excellent,1000 - 1500 CMH
273,FABER HOOD,FABER,5999,4.1,38% off,1.0,1200 CMH,60.0,38.0,1200.0,Excellent,1000 - 1500 CMH
274,FABER HOOD,FABER,12499,4.7,55% off,1.0,1200 CMH,75.0,55.0,1200.0,Excellent,1000 - 1500 CMH
275,FABER Hood,FABER,3599,4.1,57% off,26.0,1350 CMH,60.0,57.0,1350.0,Excellent,1000 - 1500 CMH
276,FABER HOOD,FABER,7199,4.4,61% off,4.0,1350 CMH,90.0,61.0,1350.0,Excellent,1000 - 1500 CMH
277,RUWA PEARL,RUWA,6708,4.1,30% off,19.0,1100 CMH,60.0,30.0,1100.0,Excellent,1000 - 1500 CMH
278,FABER HOOD,FABER,6990,3.2,67% off,13.0,1500 CMH,90.0,67.0,1500.0,Good,1000 - 1500 CMH
279,Eurodomo Hood,Eurodomo,23999,3.9,55% off,497.0,1200 CMH,60.0,55.0,1200.0,Good,1000 - 1500 CMH
280,FABER Janus,FABER,6576,4.2,52% off,34.0,1000 CMH,90.0,52.0,1000.0,Excellent,500 - 1000 CMH
281,Amplesta EcoFlow,Amplesta,6990,3.7,71% off,139.0,800 CMH,60.0,71.0,800.0,Good,500 - 1000 CMH
282,ZENPURE Nadia,ZENPURE,6708,3.7,73% off,3.0,1350 CMH,75.0,73.0,1350.0,Good,1000 - 1500 CMH
283,Hindware Smart,Hindware,3599,4.1,71% off,86.0,1500 CMH,90.0,71.0,1500.0,Excellent,1000 - 1500 CMH
284,Eurodomo HOOD,Eurodomo,23999,4.3,20% off,43.0,1425 CMH,90.0,20.0,1425.0,Excellent,1000 - 1500 CMH
285,FABER HOOD,FABER,3578,3.8,62% off,594.0,800 CMH,60.0,62.0,800.0,Good,500 - 1000 CMH
286,FABER Hood,FABER,10490,3.7,60% off,46.0,1150 CMH,60.0,60.0,1150.0,Good,1000 - 1500 CMH
287,Crompton CHD,Crompton,15981,4.1,64% off,53.0,1400 CMH,90.0,64.0,1400.0,Excellent,1000 - 1500 CMH
288,FABER HOOD,FABER,9869,4.8,67% off,0.0,1200 CMH,75.0,67.0,1200.0,Excellent,1000 - 1500 CMH
289,Ventair India,Ventair,4499,4.2,53% off,5.0,1250 CMH,60.0,53.0,1250.0,Excellent,1000 - 1500 CMH
290,Hindware Smart,Hindware,13410,3.9,72% off,5.0,1200 CMH,60.0,72.0,1200.0,Good,1000 - 1500 CMH
291,FABER HOOD,FABER,7399,4.1,67% off,206.0,1500 CMH,60.0,67.0,1500.0,Excellent,1000 - 1500 CMH
